鉛[えん] 筆[ぴつ] 削[けず] り,エンピツケズリ,铅笔刀
だいたい〜は…んだ。,,总的说来，几乎都是……（向对方举证说出自己不满的原因）
[delete]だいたい〜は…んだ。,,总的说来，几乎都是……（向对方举证说出自己不满的原因）
そんなに 言[い] わなくたって いい じゃない。,,你也不必这么说吧。／不至于像你说的那样吧。（在被他人批评或指责后，反击时使用）
お 互[たが] いさまなんじゃない？,,彼此彼此，咱们都差不多吧？（表示对方也有过失）
ごめん。…ちょっと 言[い] い 過[す] ぎたみたいだね。,,对不起，我说……好像有点儿言过其实了。（为了结束吵架而道歉时使用）
[delete]ごめん。…ちょっと 言[い] い 過[す] ぎたみたいだね。,,对不起，我说……好像有点儿言过其实了。（为了结束吵架而道歉时使用）
私[わたし] こそ、〜て、ごめん。,,我也是，……有做的不对的地方，对不起。（当对方向自己道歉时，承认自己也有过错的表达方式）
[delete]私[わたし] こそ、〜て、ごめん。,,我也是，……有做的不对的地方，对不起。（当对方向自己道歉时，承认自己也有过错的表达方式）
渡[わた] 辺[べ] 昇[のぼる],,渡边升：村上春树的超短篇小说中的人物。
『 鉄[てつ] 腕[わん] アトム 』,,《铁臂阿童木》：手冢治虫创作的科幻漫画中的主角。
マニアック,マニアック,狂热的
錆[さ] び つく,サビツク,锈住
中[ちゅう] 断[だん][する],チュウダン[する],中断
口[くち] をきく,サク[クチヲ〜],搭理、相互说话、对话
素[す] 直[なお][な],スナオ[な],坦率[的]、诚恳[的]、纯朴[的]
癖[くせ],クセ,毛病、癖好
